track,mode,verifier_count,trial,algorithm,elapsed_ms,repetitions,success,failure,error,signature_bytes,m_rcpt_bytes,receipt_bytes,open_bytes
GPV-L,optimized-hybrid,1,0,audit_keygen,875.5317999998624,1,1,0,0,407625,102928,217320,104496
GPV-L,optimized-hybrid,1,0,judge,1153.0158999999005,1,1,0,0,407625,102928,217320,104496
GPV-L,optimized-hybrid,1,0,keygen,79608.68216666677,1,1,0,0,407625,102928,217320,104496
GPV-L,optimized-hybrid,1,0,open_receipt,70.06629999978031,1,1,0,0,407625,102928,217320,104496
GPV-L,optimized-hybrid,1,0,proxy_authorize,27.26579999989553,1,1,0,0,407625,102928,217320,104496
GPV-L,optimized-hybrid,1,0,proxy_keygen,878.3134999998765,1,1,0,0,407625,102928,217320,104496
GPV-L,optimized-hybrid,1,0,proxy_sign,473.3519999999771,1,1,0,0,407625,102928,217320,104496
GPV-L,optimized-hybrid,1,0,receipt_gen,492.369200000212,1,1,0,0,407625,102928,217320,104496
GPV-L,optimized-hybrid,1,0,verify,856.3019999996868,1,1,0,0,407625,102928,217320,104496
GPV-L,optimized-hybrid,1,1,audit_keygen,849.2021000001841,1,1,0,0,407625,102928,217339,104496
GPV-L,optimized-hybrid,1,1,judge,1141.1989000002905,1,1,0,0,407625,102928,217339,104496
GPV-L,optimized-hybrid,1,1,keygen,82657.24583333333,1,1,0,0,407625,102928,217339,104496
GPV-L,optimized-hybrid,1,1,open_receipt,73.96979999975883,1,1,0,0,407625,102928,217339,104496
GPV-L,optimized-hybrid,1,1,proxy_authorize,27.1111000001838,1,1,0,0,407625,102928,217339,104496
GPV-L,optimized-hybrid,1,1,proxy_keygen,886.4075000001321,1,1,0,0,407625,102928,217339,104496
GPV-L,optimized-hybrid,1,1,proxy_sign,419.89680000006047,1,1,0,0,407625,102928,217339,104496
GPV-L,optimized-hybrid,1,1,receipt_gen,495.1573999996981,1,1,0,0,407625,102928,217339,104496
GPV-L,optimized-hybrid,1,1,verify,885.4129999999714,1,1,0,0,407625,102928,217339,104496
GPV-L,optimized-hybrid,1,2,audit_keygen,874.0267999996831,1,1,0,0,407625,102928,217287,104496
GPV-L,optimized-hybrid,1,2,judge,1144.1735999997036,1,1,0,0,407625,102928,217287,104496
GPV-L,optimized-hybrid,1,2,keygen,80685.06633333345,1,1,0,0,407625,102928,217287,104496
GPV-L,optimized-hybrid,1,2,open_receipt,72.73299999997107,1,1,0,0,407625,102928,217287,104496
GPV-L,optimized-hybrid,1,2,proxy_authorize,77.41359999999986,1,1,0,0,407625,102928,217287,104496
GPV-L,optimized-hybrid,1,2,proxy_keygen,856.5602999997282,1,1,0,0,407625,102928,217287,104496
GPV-L,optimized-hybrid,1,2,proxy_sign,467.6461999997628,1,1,0,0,407625,102928,217287,104496
GPV-L,optimized-hybrid,1,2,receipt_gen,498.1525000002876,1,1,0,0,407625,102928,217287,104496
GPV-L,optimized-hybrid,1,2,verify,948.3477000003404,1,1,0,0,407625,102928,217287,104496
GPV-L,optimized-hybrid,1,3,audit_keygen,868.3084000003873,1,1,0,0,407625,102928,217327,104496
GPV-L,optimized-hybrid,1,3,judge,1159.1692000001783,1,1,0,0,407625,102928,217327,104496
GPV-L,optimized-hybrid,1,3,keygen,80837.56256666705,1,1,0,0,407625,102928,217327,104496
GPV-L,optimized-hybrid,1,3,open_receipt,77.40069999999832,1,1,0,0,407625,102928,217327,104496
GPV-L,optimized-hybrid,1,3,proxy_authorize,30.11879999939993,1,1,0,0,407625,102928,217327,104496
GPV-L,optimized-hybrid,1,3,proxy_keygen,881.4183999993475,1,1,0,0,407625,102928,217327,104496
GPV-L,optimized-hybrid,1,3,proxy_sign,426.4074000002438,1,1,0,0,407625,102928,217327,104496
GPV-L,optimized-hybrid,1,3,receipt_gen,506.0031000002709,1,1,0,0,407625,102928,217327,104496
GPV-L,optimized-hybrid,1,3,verify,932.9880999994202,1,1,0,0,407625,102928,217327,104496
GPV-L,optimized-hybrid,1,4,audit_keygen,857.7160999993794,1,1,0,0,407625,102928,217296,104496
