track,mode,verifier_count,trial,algorithm,elapsed_ms,repetitions,success,failure,error,signature_bytes,m_rcpt_bytes,receipt_bytes,open_bytes
GPV-S,optimized-hybrid,4,0,audit_keygen,216.7979000005289,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,0,judge,296.00780000328086,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,0,keygen,995.5713999976675,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,0,open_receipt,66.04840000363765,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,0,proxy_authorize,4.056000005220994,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,0,proxy_keygen,98.64640000159852,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,0,proxy_sign,150.75700000306824,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,0,receipt_gen,182.82039999758126,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,0,verify,134.94429999991553,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,1,audit_keygen,240.77740000211634,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,1,judge,358.0770999978995,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,1,keygen,1377.6036333329102,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,1,open_receipt,68.04589999956079,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,1,proxy_authorize,4.315699996368494,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,1,proxy_keygen,102.5171999935992,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,1,proxy_sign,158.58129999833182,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,1,receipt_gen,203.9535000003525,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,1,verify,150.40379999845754,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,2,audit_keygen,239.17059999803314,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,2,judge,301.6159999970114,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,2,keygen,1581.7238166673633,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,2,open_receipt,69.72359999781474,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,2,proxy_authorize,6.945500004803762,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,2,proxy_keygen,108.6457999990671,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,2,proxy_sign,163.98839999601478,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,2,receipt_gen,182.39610000455286,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,2,verify,150.6798999980674,1,1,0,0,340598,77263,160038,77871
GPV-S,optimized-hybrid,4,3,audit_keygen,247.41549999453127,1,1,0,0,340598,77263,160024,77871
GPV-S,optimized-hybrid,4,3,judge,308.80859999888344,1,1,0,0,340598,77263,160024,77871
GPV-S,optimized-hybrid,4,3,keygen,1056.1976166682143,1,1,0,0,340598,77263,160024,77871
GPV-S,optimized-hybrid,4,3,open_receipt,64.37440000445349,1,1,0,0,340598,77263,160024,77871
GPV-S,optimized-hybrid,4,3,proxy_authorize,6.197399998200126,1,1,0,0,340598,77263,160024,77871
GPV-S,optimized-hybrid,4,3,proxy_keygen,113.45230000006268,1,1,0,0,340598,77263,160024,77871
GPV-S,optimized-hybrid,4,3,proxy_sign,163.7269999991986,1,1,0,0,340598,77263,160024,77871
GPV-S,optimized-hybrid,4,3,receipt_gen,181.16190000000643,1,1,0,0,340598,77263,160024,77871
GPV-S,optimized-hybrid,4,3,verify,166.07169999770122,1,1,0,0,340598,77263,160024,77871
GPV-S,optimized-hybrid,4,4,audit_keygen,247.00540000048932,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,4,judge,323.46490000054473,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,4,keygen,1089.2855500011744,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,4,open_receipt,78.46250000147847,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,4,proxy_authorize,6.3667999929748476,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,4,proxy_keygen,122.8934000027948,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,4,proxy_sign,172.68450000119628,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,4,receipt_gen,183.91640000481857,1,1,0,0,340598,77263,160040,77871
GPV-S,optimized-hybrid,4,4,verify,159.80629999830853,1,1,0,0,340598,77263,160040,77871
